Cl,Cs,Zr
-1.4313793123132377,-3.6076761154977284,-5.635202390547194
-1.130856644824107,-3.8627222401849144,-6.928246146107604
-1.4773492908284653,-3.2049756057109446,-6.1647835390293935
-1.2675103368913403,-3.66294514748062,-6.507878179112792
-1.193641764784316,-3.443302047570144,-7.390375811575891
-0.918284537179856,-4.086269517993765,-7.756584236355408
-0.7919791956121011,-3.900548790724563,-8.885857740300342
-0.7894132294968992,-4.045518367248134,-8.611314383944412
-1.0703182537562983,-3.7608619645390178,-7.495197043806249
-0.9898070798377355,-3.923540149378441,-7.65290771763878
-1.2335537290483594,-3.426134719052443,-7.185238683027032
-1.341540751690741,-3.648766699496095,-6.092052586285439
-1.063740627337742,-3.5027464984697185,-8.050893734456183
-1.2952973193025734,-3.3127304850572994,-7.041585609492034
-1.3058773371407577,-3.7205745150817746,-6.162417442413979
-1.095876011888262,-3.8787697088084485,-7.106035006475605
-1.1575847172045437,-3.5886974533086957,-7.315927285577421
-1.1456579926900732,-3.7540678920061747,-7.0567467552692875
-1.3424305420100042,-3.4341242028944903,-6.5159988375730675
-1.5548057257542707,-3.056336124730116,-5.997323891436219
-1.8521814059625386,-2.8353123925879067,-4.6551172744710305
-1.525369889756695,-3.255068797511758,-5.776473561858388
-1.6525580483248847,-3.162425538209393,-5.198631129053981
-1.709424335710684,-2.993244928462198,-5.1957946242335735
-1.8658419305152212,-2.8392828712886864,-4.565213169753375
-1.7867043093286967,-3.1548259701496377,-4.408952699150619
-2.1255781064393147,-2.9539559366379184,-2.7774499835103503
-2.1174291128031926,-2.7916254406336005,-3.1510049373357174
-2.1256075090909694,-2.676255508603053,-3.332674423670153
-1.867189175619689,-2.6931641826453347,-4.849367076413272
-1.7586875611652955,-3.0529452680246045,-4.780814592381091
-1.7213965059698488,-3.0819715301184294,-4.946508399366123
-1.5172894588378338,-3.289554404041373,-5.755984934312325
-1.8323173919742155,-2.7286452144033344,-4.987635714770113
-2.0571352609719527,-2.848245897325497,-3.3995271349393654
-2.4071156588923595,-2.122104420821963,-2.751927700423993
-2.5367681862002742,-2.3350550527707736,-1.5481112726788826
-2.241908218041414,-2.6890450400115657,-2.6092911071504603
-1.9966370879759696,-2.9782625031540633,-3.5024829612581296
-2.1724729162864187,-2.6859308044105994,-3.0321313888823633
-2.283834477127895,-2.3741768248374977,-2.9874699829797082
-2.4443444788596715,-2.159884624125252,-2.4529943740135414
-2.748655125282295,-2.1581140175755733,-0.630671708577159
-2.697666245063683,-2.0974055499450217,-1.0580219251499337
-2.372597724930884,-2.3812435297114902,-2.440757086413791
-2.4881533433060414,-2.1857524286025822,-2.138405578380662
-2.7790898838609515,-2.070550378639478,-0.6231904349774121
-2.89900672314319,-1.8382772558960943,-0.36823564477074583
-2.6561561240211327,-2.0706347171988724,-1.360624316897534
-2.558531110245359,-2.3348495146364705,-1.4179448046769818
-2.748264658644933,-2.0716263309862644,-0.8059898815799473
-2.5271177150026958,-2.3737110535577073,-1.5287020982904855
-2.5206775700761708,-2.352522791544375,-1.6097194918762996
-2.239774217970125,-2.806803885866374,-2.3865774158685746
-2.104854175232232,-2.4244587162787927,-3.9607880114710983
-1.965778662639111,-3.0405293074691753,-3.563099904649058
-2.2580517721911644,-2.621381615903414,-2.647756630468259
-1.9884912813010518,-2.967787167144355,-3.572308473327052
-1.8660001075054022,-3.1358190291474317,-3.9711917920947974
-2.0142691986024324,-2.6149670313743343,-4.123281241058814
-2.238442664416549,-2.3791957504042003,-3.2497830081143815
-2.3216396805735564,-2.3307171625640946,-2.8475580868525463
-2.4954036667859136,-2.5839740423430877,-1.298460410020417
-2.4130981078592555,-2.6070674796762234,-1.7461068889140956
-2.704943747725875,-2.2300846203027644,-0.7489987684612952
-2.350284063289164,-2.5072785941702445,-2.3225689273466026
-2.5309007151642353,-2.0008261587733362,-2.2517738868899912
-2.3945223885953912,-2.647096009472772,-1.7775041449041842
-2.256529976011023,-2.594692583839447,-2.710265471677041
-2.245425815483331,-2.6552344891232367,-2.6558066242756158
-2.339551447430952,-2.635505532111131,-2.1305107466141022
-2.2277215124759,-2.8260650802863063,-2.4203712599940634
