Bi,Cl,Cs
-2.445977891360306,-1.3426133455799751,-3.216258252984315
-2.16302265773693,-1.327686365409435,-3.340430624533188
-2.2987781707466355,-1.3572645293196477,-3.2360224590428603
-2.306284685900468,-1.3343058115345536,-3.2794377228951035
-1.8252771375104604,-1.5169099321722401,-3.0745653310830665
-1.1127477976564022,-1.8328297209540254,-2.6802355334708494
-0.8626779805066446,-1.8201662719725689,-2.788919037150348
-1.7998379785387577,-1.484618776125139,-3.1476273628345037
-0.7556999384909853,-1.8047276201890372,-2.8554556880559643
-0.3065325133598911,-1.9358912123892502,-2.7428509786992366
-1.6602698674927385,-1.6246972090176244,-2.9139932007315394
-1.0471192897637356,-1.7340651337635,-2.8996408771494555
-1.8687852100850917,-1.4271662271400691,-3.2395500502891985
-1.1792049800521744,-1.7382503456573788,-2.847241889932218
-1.0281967619757246,-1.8582080535072056,-2.6576625469247146
-0.44229153053225273,-2.019625859097001,-2.5301286795596147
-0.8964796549400144,-1.7623466486956623,-2.8932910588930385
-2.210734506113947,-1.4600721765738631,-3.0597550527453254
-0.8087220151557343,-1.7807603847988622,-2.8857161332813988
-1.8825673770344924,-1.4697469953288402,-3.149794458261856
-2.4485613024823514,-1.22318394355419,-3.4542559199952034
-2.6628898088601,-1.1824418772591418,-3.46429721712605
-3.905734461268171,-0.8765290563532678,-3.661841308135108
-4.06538796556169,-0.7225782230773135,-3.9165251399225105
-4.589464638997301,-0.6420909526794355,-3.9028074562397292
-4.094830006056068,-0.8259386464645528,-3.699990279649906
-3.768506714890864,-0.8734849178855844,-3.7136721671962443
-4.165793950819097,-0.6722162011034046,-3.983780522117859
-3.4881777198908757,-0.8830448483689585,-3.787995304562825
-3.826050043044729,-0.7718936624962646,-3.8976735685902617
-3.3289863886103137,-1.0357223974330163,-3.5357039835282302
-2.9541806149394376,-1.136775891393849,-3.4585322534968563
-3.411333374520017,-1.0283145941670633,-3.523070594756902
-3.5184518208208395,-0.8906089103656452,-3.7627758135927976
-3.850748830182007,-0.8297164827007344,-3.773794999135563
-3.9062245473876382,-0.7523309628702571,-3.9100741330613076
-3.447331489333879,-0.9270197429427107,-3.7136609256009865
-4.2337650098760795,-0.7603842289471181,-3.784787446744771
-4.7781360548495915,-0.5518188031518028,-4.020461283344231
-3.8922085958625803,-0.8772492452869004,-3.6649095520697066
-4.7302863954511905,-0.6002701593382336,-3.939508457437504
-5.645232019864331,-0.29805642230051976,-4.238954056708551
-5.819773325209295,-0.19244545400916277,-4.391995558176277
-5.037610074035092,-0.41866974433193743,-4.200268061255462
-5.0332689998820355,-0.3751562667344036,-4.288742041168215
-5.008702034948522,-0.5353299967758766,-3.9765835693964404
-5.436484471007635,-0.25923134386723234,-4.386186729860691
-5.199589822701511,-0.3901506070350902,-4.203313086293683
-4.874043069351843,-0.5226105323938877,-4.046908820025977
-4.2092196695772985,-0.7148092374998314,-3.8841192097389383
-3.1919140284023992,-0.9845298044919413,-3.6837799561463522
-3.62825466422968,-0.8330656299037567,-3.841261426713628
-3.4804232552599954,-0.9601761085655376,-3.6363176057132938
-2.5744207796844965,-1.2833674302273488,-3.291935787581504
-2.6133897813798628,-1.225062935153839,-3.395555110496735
-2.7400873571295796,-1.2384301881576336,-3.32658807923924
-2.432631408240288,-1.2832695021627274,-3.3393947675254836
-2.0386947183195643,-1.4394184116222823,-3.158409178579948
-2.220505020030939,-1.4637211217856174,-3.0492003243494863
-1.1955243594765845,-1.6772752336952779,-2.9637523207149505
-1.825872624047473,-1.4427754766268477,-3.222635746661514
-2.5464622721649195,-1.2851320247193816,-3.2977261011039647
-2.34019707153419,-1.2696949104698176,-3.3973553964800027
-3.1532929924823923,-1.11368962197251,-3.438333999825216
-2.4918242994170883,-1.2378461231837703,-3.4105105617577975
-2.6464847634583593,-1.2817096579304057,-3.2712300042507696
-1.723233081082049,-1.4936099247433343,-3.1551800314170158
-1.6166787141502013,-1.5427197593323465,-3.092478484549607
-0.5851325722215797,-1.8514485226872224,-2.8188696718160626
-0.14705751392661762,-1.9981009045296114,-2.671589927562939
-0.5816649878080208,-1.922368523371623,-2.6781855319184475
-0.377946755219733,-1.9618209176734263,-2.6671868208442704
-0.34305714891318667,-1.981864199690457,-2.638730125579058
-0.8539756452369266,-1.8627663889269914,-2.706619581664742
-0.36914417817228534,-1.9498719727947158,-2.6940189029508406
-1.3037542515338487,-1.653020473742325,-2.976185209935101
-2.1227694508519295,-1.3777984397456373,-3.2536242114891163
-2.7998706943795466,-1.1960638233369383,-3.3913930297973085
-2.9733778842514496,-1.185425559206541,-3.3548338281008023
-2.8887459767071744,-1.2105362268797604,-3.332823128602455
-2.469331562419982,-1.2234217962018923,-3.446856794720589
-2.820954526253086,-1.1949052979115973,-3.386682136690144
-2.110608724107524,-1.4138854974540578,-3.1855036716537435
-1.9407730369760796,-1.5243672419441279,-3.0211520783840853
-2.5566251521681753,-1.2972585280951585,-3.270085467684658
-3.453233554245629,-1.028011492053588,-3.509710072408649
-2.756777499290438,-1.2557908331766106,-3.2863034084810008
-2.0191236188419426,-1.4165505508183818,-3.2106686000136224
-1.5646952683671205,-1.6149537686029136,-2.9653382812694997
-0.6565549826564505,-1.9256055419413658,-2.646748163162819
-0.6869496490582893,-1.9396355098073368,-2.6085566719635978
-0.8019385647834725,-1.938821334699085,-2.57185538360504
-0.8861577845237099,-1.8170830187286982,-2.7872589422990677
-0.9787530837389713,-1.836823242517394,-2.7169133949832553
-0.6396538258566437,-1.992978783327243,-2.517635399324333
-0.2848408334954818,-2.102989719178588,-2.4158845250753647
-0.8817448873655094,-1.9008717263968893,-2.6211524926820853
-0.6323817053696849,-1.8354306134217053,-2.835155779297729
-0.2636558362173086,-2.1115369928824963,-2.4058516434269386
-0.874970115856937,-1.8122596650336271,-2.8006348725781343
-1.1822312748542805,-1.7506603962739449,-2.8214130237650505
-1.7667735615723026,-1.5861744283634407,-2.9555375306800515
-1.5333799621449555,-1.6005156130156568,-3.004653027851402
-1.9885949904901759,-1.4501891143402552,-3.153567682420465
-2.741750825186729,-1.1955707900007189,-3.411752386200687
-2.980210282466576,-1.1132169858680085,-3.496973508706158
-3.0395975408352567,-1.04482505257937,-3.613961622493875
-3.192119657309815,-1.091222969314225,-3.4703250835326456
-3.669162240740899,-0.8811814943559404,-3.731393838972187
-3.804740646012026,-0.8369786897641479,-3.7746066463987296
-3.9308507243092463,-0.7591988256713266,-3.888129681818633
-4.73566540040443,-0.5986894634959414,-3.9408768474710083
-3.665200926733101,-0.8532726548070215,-3.7885319560726245
-3.5549228196049327,-0.9882633306492644,-3.5553099734308606
-3.47856175045734,-0.9339951849410343,-3.6892999545631855
-3.5144671197271102,-0.8762758481066617,-3.7927701718086744
-2.940879789071689,-1.187683352410318,-3.3611509400865014
-3.381413096881258,-1.0116546161080346,-3.5663639767545456
-4.124760402292439,-0.703594648792798,-3.9347014762479584
-5.059276892231925,-0.4655215832662271,-4.099342110654605
-5.6536700688717,-0.15270161626055442,-4.526850985786025
-5.741170838938558,-0.18621836089121993,-4.430650573169075
-5.491860258711365,-0.3691302058080653,-4.147930410077782
-5.783124860079977,-0.2372672644106376,-4.314568092416433
-5.140565003857638,-0.32221081683829933,-4.35886760630189
-5.870976784125918,-0.18215319453217704,-4.395512257491374
-5.623719574160841,-0.22472918492952787,-4.392779346685032
-6.311659465573472,-0.0815152936283286,-4.449893832149886
-5.456974409014708,-0.24391342885765718,-4.4099925805441496
-5.815613191066353,-0.26834401054671286,-4.241585156482158
-5.811947565998968,-0.2501148611357844,-4.279265330326476
-5.9199573988770595,-0.11953988864403928,-4.504411997683936
-6.220883628238466,-0.03800731743472911,-4.567168396982088
-5.933650137961921,-0.15563473147804432,-4.427658065654305
-5.261368617404929,-0.398497703249033,-4.166025962297992
