Cl,Cs,Sn
-0.9842409691706973,-3.8048718528135312,-3.785957020210824
-0.973643935968322,-3.738405184660835,-3.9824725557304683
-1.1216144013943343,-3.709897486816854,-3.151665158862355
-1.2093558136851323,-3.303147345217795,-3.438716968315688
-1.41636368842814,-3.2234109009402445,-2.356142608412742
-1.4996741097109352,-3.1375762735692234,-2.027949335458013
-1.2728730139536801,-3.6817959803069424,-2.300316496526106
-1.2601151550594192,-3.624602368879188,-2.491250872747181
-1.356708776443952,-3.5904791981515434,-1.9799354858952716
-1.6045737695785516,-2.9458469600603987,-1.782010003269964
-1.615937687674569,-2.9809927943299397,-1.6435348261547775
-1.5242174930810104,-3.212204533594521,-1.7314325151869665
-1.501361953373033,-3.0750258383262254,-2.142923143971422
-1.6271491243038458,-2.9513755390042444,-1.6355007170305067
-1.702914193149469,-3.0686549941460166,-0.9463513936732236
-1.4862727393396993,-3.3434016573784797,-1.6967067900669166
-1.5059960346339483,-3.010303799400594,-2.2445627342571917
-1.6419483037449012,-2.917280032521941,-1.6148966533487812
-1.7341901611849515,-2.8846937829467123,-1.1266180078589372
-1.6724866064780324,-3.115912667171309,-1.0344015676512566
-1.63309288256369,-3.147981237707276,-1.2066267700653799
-1.5532696073792303,-3.3898988890824855,-1.2017311184217176
-1.6539705591516478,-3.1753697424343974,-1.0265837010833887
-1.618592290988073,-3.1279424749557636,-1.333707845022104
-1.677180418007834,-3.1538642381189153,-0.9303355565772358
-1.5903844430804899,-2.942844974776689,-1.873149932825754
-1.3992165225802635,-3.4382498787943354,-2.0293476477918184
-1.30233473780148,-3.2254847732753467,-3.036168567502497
-1.3560932708924918,-3.1926971870623526,-2.779192541382416
-1.332959441112605,-3.6901237819548833,-1.9231423302766744
-1.0693965957019924,-3.9544425073982707,-2.9758819518535744
-0.8210361897148887,-4.158844254560063,-4.057240893452612
-0.6042546714181313,-4.382285943088256,-4.911046626176772
-0.7669740198857304,-4.215679929702554,-4.267942562142581
-0.9644705013497968,-4.109382079721659,-3.295559373319973
-0.9716032002441068,-4.075080863193698,-3.3213656130100357
-0.9918775790804344,-3.5261063353682123,-4.29766839564304
-1.1132615296054829,-3.7516999313079618,-3.11817750061325
-0.9349494127602898,-4.058522572629275,-3.5744049190417835
-1.0823020865781132,-3.8677351137333345,-3.0718637939267226
-1.2869728411747166,-3.6838337862540036,-2.2116419213057625
-1.3252900778468644,-3.2384500948882318,-2.87250588400442
-1.1300825309502076,-3.9350281059626893,-2.6505951432354458
-0.9862309506678463,-3.8347448455195234,-3.714271145815945
-0.9288056377984648,-3.9107277916858645,-3.9068571306995543
-1.1599691571755137,-3.5714894592552517,-3.1983526792984853
-1.0042151306880163,-3.978318247092996,-3.3192192625479797
-0.7694051602952237,-3.750967657865347,-5.1827802633600335
-0.769345231884004,-4.026872251853962,-4.631330645850121
-0.626224402942956,-4.156032301708578,-5.231735519787179
-0.8520180492899063,-3.7614047549314544,-4.6662287352597245
-0.9231538398275412,-3.770734548834511,-4.220754404227801
-1.0053415024047234,-3.9751195114050386,-3.3188585036236518
-0.7598321476497031,-4.062851109916539,-4.616451435130772
-0.6052897386504194,-4.362771978101475,-4.943864152756605
-0.4715918210860989,-4.186225264097937,-6.099145086149604
-0.517191273609344,-4.0925408073667855,-6.012917284472435
-0.5371957947185385,-4.456493207904652,-5.164985356741535
-0.5045601178744952,-4.41351887160631,-5.44674809040248
-0.6327218161791699,-4.220989418329432,-5.062836807128189
-0.8886229551137435,-3.7364839130876675,-4.496440984004274
-1.1142561743348016,-3.5574457687576913,-3.500717957337879
-1.0827082335412281,-3.7257774365413234,-3.3533422665320565
-0.993097887603598,-3.792158904692015,-3.7582414058564524
-0.8607260261089239,-3.738760851978468,-4.659268680251591
-1.1326192602493872,-3.6270016178785878,-3.251427743608572
-1.0288493507889622,-3.614256141088333,-3.8995381539516307
-0.894106782380327,-3.919642927350405,-4.097219991879297
-0.7819354573843134,-3.9966824633629803,-4.616168869830229
-0.9860823811408964,-3.748784732517102,-3.8870827889824864
-1.057058019657931,-3.5576353865266803,-3.843527649861125
-0.9836109536319917,-3.717017131284063,-3.965446556501994
-1.007079091418336,-3.57303471292318,-4.112602566505695
-0.8638845073567387,-3.684599343091352,-4.748640810538933
-0.6604286900171022,-4.136512209621622,-5.065549981516212
-0.7232498701458054,-4.011693162833596,-4.938260994320047
-0.9579474860532555,-3.84074686628235,-3.871967891977837
-1.0665885658887682,-3.4587865476059774,-3.9840420503175076
-1.0275778146788261,-3.510204712351358,-4.115270228086398
-0.9536140333842548,-3.853488003794228,-3.8724863329680863
-1.0131633602442078,-4.043111724101032,-3.1359429311947595
-0.8721505363292394,-3.672925725753067,-4.722391871380501
-0.686437548902203,-4.052836257104744,-5.076848733239364
-0.503457994572173,-4.2943105804392445,-5.691777412550544
