Al,O,Y
-6.536658652103999,-1.471072773550547,-7.766394613957812
-6.522933589735357,-1.4435050373976577,-7.899540662517106
-6.511071429236289,-1.4520380831123771,-7.885178747156677
-6.824451363977942,-1.2241443089557085,-8.274453952547262
-7.528140385442467,-0.7096881172709987,-9.159463683511891
-6.785527979232954,-1.319420854693347,-7.95822007750502
-6.879503161283002,-1.1960278827481228,-8.29516666186917
-7.125800080600196,-1.0630243648606656,-8.416685867890344
-6.379510536962273,-1.5763326001052411,-7.607268832975248
-5.488427132559251,-2.1160784141462963,-6.933424584149396
-5.999904936592404,-1.7363278167019618,-7.599963967204811
-5.735381420970377,-1.8998159458116315,-7.386883976802845
-5.3488607691123295,-2.2445068749663792,-6.652321346613935
-4.618251051885351,-2.6583308097158316,-6.214708469661087
-4.998878443850786,-2.4756277170724448,-6.3111418536255774
-4.495205005363511,-2.733939365130803,-6.11735099220427
-4.9432695625104195,-2.438923070089329,-6.55064191045865
-5.748444705131704,-1.9337896365250637,-7.2292170736802355
-5.662228957854094,-2.009797586540772,-7.068878185746754
-6.397052088959861,-1.52716283684214,-7.77471196603167
-5.669451147733713,-2.041271878770849,-6.930944033693748
-5.098797386984849,-2.390658056346524,-6.4844889246391535
-5.517643536418943,-2.0907482879124517,-6.986051082651954
-4.822556649993133,-2.6248995219167766,-6.007924290677672
-4.189509793583148,-3.0385345730154563,-5.408462180299592
-3.519027007666354,-3.457497833958792,-4.850080446387576
-3.8770352707045497,-3.175732929023266,-5.3804596277326855
-4.403233641058263,-2.894899066920315,-5.626797792221634
-3.8847792421838045,-3.1973742248370565,-5.2809878253454325
-3.143519142122211,-3.6950934035297767,-4.5255446106772075
-3.056766582458598,-3.762792191175265,-4.399337059534609
-2.4973039445929834,-4.0894215277955075,-4.025257442829662
-2.565122428485025,-4.045516267376697,-4.08784767801817
-1.8383245696523143,-4.621160743593239,-2.996599537873185
-2.54616198428215,-4.029799035964865,-4.182317344003621
-2.1149119766244757,-4.33797148438032,-3.668377563104592
-1.502030393153944,-4.773850850304454,-2.9463294051922753
-1.797030373146583,-4.625998131655269,-3.0460736464679523
-1.6241847417223332,-4.7523055741706015,-2.82891992878037
-1.4449850935875044,-4.752410487587702,-3.1271663553366826
-1.6404977739152315,-4.684478211690708,-3.0730409917117796
-2.597547507133357,-4.094032457958222,-3.839741117944848
-2.9171157452172087,-3.829328348120865,-4.365943827154524
-2.078006694057895,-4.3875893144769,-3.531415046995908
-1.301350661329825,-4.939466056516236,-2.6183348000520126
-0.7507829395926269,-5.247487437654386,-2.3038621450614096
-1.3376838879670079,-4.910561216820388,-2.673398781106767
-1.0689789123246423,-5.022170407585683,-2.674803644116197
-1.979238916343854,-4.44747342760024,-3.456491557359282
-2.5372429172501216,-4.116776018199711,-3.8492745267842836
-2.741361413055204,-4.00591116822285,-3.952536433683258
-2.2885001782815326,-4.210794140368941,-3.887773269721679
-2.045276173848152,-4.442849388930288,-3.364925616198592
-1.696582997715306,-4.5966789760953395,-3.3307625610931297
-2.5592879724996296,-4.10318406032336,-3.866900599540511
-1.7153223065966374,-4.69344700138509,-2.912458278465242
-1.2058672043514282,-5.020262730235118,-2.4542872001404774
-2.09313849012801,-4.445487495444314,-3.274602663009394
-2.4373151179787973,-4.1566512241375655,-3.8563200351517395
-2.3176361469631455,-4.181843004187076,-3.955017866646451
-1.4494566019141684,-4.756280399146551,-3.1042341952235137
-0.6732137393402822,-5.323437039699557,-2.129345737301301
-1.6047567733882218,-4.764009584991961,-2.8144838327184507
-1.1286189256927044,-5.0239799979532815,-2.5681652603657
-1.5566312728093075,-4.804376394748038,-2.7332257613256674
-0.8865773264472441,-5.2215958559840745,-2.1811044936516275
-0.6856077328324792,-5.287637478517467,-2.2518873262093324
-1.0259342075846483,-5.1628562725086455,-2.1838013589910013
-0.3281971277154554,-5.5301247113594565,-1.8776227367030782
-0.3399384356366642,-5.5608467869256,-1.735165587903156
-0.056758370450858985,-5.716793622066261,-1.5833450226501928
-0.3741473965521688,-5.55353278523821,-1.707406659793545
-1.0521975591372752,-5.017836451959558,-2.720108388599642
-1.7008698775525481,-4.657692918890599,-3.079561990183354
-2.278182160872692,-4.26777591876042,-3.677042851837163
-2.589537374314139,-4.078592292895536,-3.9148519995609576
-2.2186842353386296,-4.335103597495686,-3.5068953461195385
-2.4222254059732036,-4.103547291496065,-4.0938852857270644
-3.263115883395734,-3.653865678199593,-4.491127609875405
-2.7655748785679863,-3.9093958474505466,-4.2982419409178325
-3.1697933440055692,-3.651009426126966,-4.658090183816186
-2.5069358169685296,-4.047567048115805,-4.176622240922565
-2.118526076480801,-4.400066366399939,-3.4139745352655755
-2.41426739602203,-4.154997826840474,-3.90134649426805
-2.6939714081475956,-3.945696189239935,-4.272379691127598
-1.8461031015388247,-4.513078488231083,-3.4159643395109565
-2.56665023295027,-4.086240396825981,-3.9224048194456245
-2.7771436510587435,-3.912257095879226,-4.26751565971852
-3.1942635740895087,-3.5870783071884276,-4.873030942763772
-2.488351538289169,-4.105896332298304,-3.9742789019914992
-1.6013287321231868,-4.679348118705048,-3.158843099974499
-1.8932051160680778,-4.511218885282273,-3.344899393757442
-1.9913092873026947,-4.407510730925976,-3.5962250591249356
-1.848606259708237,-4.501761509034634,-3.4570603260143975
-1.85613614825933,-4.566170909835549,-3.1868729085589194
-2.38962188729538,-4.129905932573703,-4.042789919212887
-2.8580482474732682,-3.855328268674451,-4.360389974513414
-2.0347183368124875,-4.435939431338844,-3.4101618416238084
-2.7704098804713895,-3.885439193995026,-4.386010218234244
-2.0265142715836464,-4.413809718452362,-3.5123541352178056
-2.243924833003493,-4.266759478120993,-3.73820416084354
-2.0683904967343123,-4.424923589704019,-3.3981049416267375
-2.533727537692107,-4.072106017840216,-4.033813494152289
-2.850787663138602,-3.8790183134835847,-4.27773076916799
-2.30133005380556,-4.253232366970929,-3.696637237440348
-1.6011224531416746,-4.771559338999072,-2.7903420171009183
-2.1278491510777164,-4.412852393675027,-3.347291968503698
-1.8667096967202519,-4.50484051176365,-3.414571920078311
-2.6221328550521146,-4.018501469211123,-4.100889493068649
-2.247953450619381,-4.3179551820676005,-3.5267069823639625
-2.4252723388764563,-4.183197196904673,-3.7702074425872123
-1.922947439381008,-4.488283441718882,-3.3870706291561237
-1.3752471955412744,-4.819307876083093,-2.975806631432165
-2.085327578763766,-4.421850372206258,-3.3821693415686904
-1.7502805757312276,-4.664669133702329,-2.9693059673053037
-1.943485525602404,-4.481572574246443,-3.3796839553435536
-1.8553530206482476,-4.5328797140581525,-3.321342904353645
-2.408056357023258,-4.213129942460709,-3.679169763451735
-1.7782823084788553,-4.570892535623446,-3.2977428050414566
-1.5863386232360037,-4.692049324111557,-3.13302179316043
-1.538709478494804,-4.728042185488642,-3.0684322555540913
-1.0108315012078826,-5.152663692660894,-2.249742855676616
-0.5254247356975519,-5.410637780720064,-2.0268577792904883
-0.34954783859757704,-5.61335920111313,-1.5091002595515195
-0.16739269499799644,-5.64575641706244,-1.6831033017535761
-1.0038659670272905,-5.105611397422433,-2.4495612602647823
-1.549933865521612,-4.738007552401125,-3.00986347619281
-1.488889600512851,-4.811956936599897,-2.8158063810789944
-1.3615480956348802,-4.858900425995729,-2.840268264958951
-1.2293197201606638,-4.928149171394229,-2.7836539091553107
-0.7979801375684262,-5.25753471474676,-2.1850110400655787
-0.6926807824928114,-5.281588744146132,-2.264293847594117
-1.288548019648254,-4.890152325493787,-2.83692746027776
