 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   5.642      0.3274E+06      0.3274E+06      0.3274E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.679      0.3090E+06      0.3090E+06      0.3090E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.716      0.3196E+06      0.3196E+06      0.3196E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.753      0.3561E+06      0.3561E+06      0.3561E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.790      0.4117E+06      0.4117E+06      0.4117E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.826      0.4702E+06      0.4702E+06      0.4702E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.863      0.5079E+06      0.5079E+06      0.5079E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.900      0.5164E+06      0.5164E+06      0.5164E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.937      0.5103E+06      0.5103E+06      0.5103E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.974      0.5086E+06      0.5086E+06      0.5086E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.011      0.5284E+06      0.5284E+06      0.5284E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.048      0.5785E+06      0.5785E+06      0.5785E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.085      0.6463E+06      0.6463E+06      0.6463E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.121      0.7091E+06      0.7091E+06      0.7091E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.158      0.7535E+06      0.7535E+06      0.7535E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.195      0.7784E+06      0.7784E+06      0.7784E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.232      0.7910E+06      0.7910E+06      0.7910E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.269      0.7895E+06      0.7895E+06      0.7895E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.306      0.7562E+06      0.7562E+06      0.7562E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.343      0.6823E+06      0.6823E+06      0.6823E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.380      0.5805E+06      0.5805E+06      0.5805E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.416      0.4696E+06      0.4696E+06      0.4696E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.453      0.3663E+06      0.3663E+06      0.3663E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.490      0.2833E+06      0.2833E+06      0.2833E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.527      0.2252E+06      0.2252E+06      0.2252E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.564      0.1883E+06      0.1883E+06      0.1883E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.601      0.1669E+06      0.1669E+06      0.1669E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.638      0.1570E+06      0.1570E+06      0.1570E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.675      0.1540E+06      0.1540E+06      0.1540E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.711      0.1529E+06      0.1529E+06      0.1529E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.748      0.1507E+06      0.1507E+06      0.1507E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.785      0.1467E+06      0.1467E+06      0.1467E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.822      0.1418E+06      0.1418E+06      0.1418E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.859      0.1393E+06      0.1393E+06      0.1393E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.896      0.1409E+06      0.1409E+06      0.1409E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.933      0.1425E+06      0.1425E+06      0.1425E+06      0.0000E+00      0.0000E+00      0.0000E+00
   6.970      0.1381E+06      0.1381E+06      0.1381E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.006      0.1271E+06      0.1271E+06      0.1271E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.043      0.1143E+06      0.1143E+06      0.1143E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.080      0.1039E+06      0.1039E+06      0.1039E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.117      0.9648E+05      0.9648E+05      0.9648E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.154      0.9105E+05      0.9105E+05      0.9105E+05      0.0000E+00      0.0000E+00      0.0000E+00
