#K-Path             Spin-Up       Spin-Down
#Band-index    1
  1.992      -13.4377      -13.4377
  1.970      -13.4380      -13.4380
  1.948      -13.4382      -13.4382
  1.926      -13.4383      -13.4383
  1.926      -13.4383      -13.4383
  1.899      -13.4386      -13.4386
  1.873      -13.4394      -13.4393
  1.846      -13.4406      -13.4406
  1.819      -13.4424      -13.4424
  1.792      -13.4445      -13.4445
  1.765      -13.4469      -13.4469
  1.739      -13.4495      -13.4495
  1.712      -13.4523      -13.4523
  1.685      -13.4551      -13.4551
  1.658      -13.4580      -13.4580
  1.632      -13.4607      -13.4607
  1.605      -13.4633      -13.4633
  1.578      -13.4657      -13.4657
  1.551      -13.4677      -13.4677
  1.525      -13.4695      -13.4695
  1.498      -13.4709      -13.4709
  1.471      -13.4720      -13.4719
  1.444      -13.4726      -13.4726
  1.418      -13.4728      -13.4728
  1.418      -13.4728      -13.4728
  1.385      -13.4725      -13.4725
  1.352      -13.4715      -13.4715
  1.319      -13.4700      -13.4700
  1.286      -13.4679      -13.4679
  1.254      -13.4654      -13.4653
  1.221      -13.4624      -13.4624
  1.188      -13.4591      -13.4590
  1.155      -13.4555      -13.4555
  1.123      -13.4518      -13.4518
  1.090      -13.4482      -13.4481
  1.057      -13.4446      -13.4446
  1.024      -13.4412      -13.4412
  0.991      -13.4382      -13.4381
  0.959      -13.4355      -13.4355
  0.926      -13.4333      -13.4333
  0.893      -13.4315      -13.4315
  0.860      -13.4302      -13.4302
  0.828      -13.4294      -13.4294
  0.795      -13.4289      -13.4289
  0.795      -13.4289      -13.4289
  0.784      -13.4289      -13.4288
  0.773      -13.4288      -13.4288
  0.762      -13.4288      -13.4288
  0.751      -13.4288      -13.4288
  0.740      -13.4288      -13.4288
  0.729      -13.4288      -13.4288
  0.718      -13.4289      -13.4289
  0.707      -13.4289      -13.4289
  0.696      -13.4290      -13.4290
  0.686      -13.4290      -13.4290
  0.675      -13.4291      -13.4291
  0.664      -13.4292      -13.4292
  0.653      -13.4293      -13.4292
  0.642      -13.4293      -13.4293
  0.631      -13.4294      -13.4294
  0.620      -13.4294      -13.4294
  0.609      -13.4294      -13.4294
  0.598      -13.4294      -13.4294
  0.587      -13.4295      -13.4294
  0.587      -13.4295      -13.4294
  0.556      -13.4298      -13.4298
  0.525      -13.4307      -13.4307
  0.494      -13.4322      -13.4322
  0.464      -13.4343      -13.4343
  0.433      -13.4368      -13.4368
  0.402      -13.4397      -13.4397
  0.371      -13.4430      -13.4430
  0.340      -13.4464      -13.4464
  0.309      -13.4500      -13.4500
  0.278      -13.4535      -13.4535
  0.247      -13.4570      -13.4570
  0.216      -13.4603      -13.4603
  0.185      -13.4634      -13.4634
  0.155      -13.4661      -13.4661
  0.124      -13.4684      -13.4684
  0.093      -13.4703      -13.4703
  0.062      -13.4717      -13.4717
  0.031      -13.4725      -13.4725
  0.000      -13.4728      -13.4728
#Band-index    7
  0.000      -12.9622      -12.9622
  0.031      -12.9629      -12.9629
  0.062      -12.9648      -12.9648
  0.093      -12.9679      -12.9679
  0.124      -12.9718      -12.9718
  0.155      -12.9765      -12.9765
  0.185      -12.9817      -12.9817
  0.216      -12.9873      -12.9873
  0.247      -12.9930      -12.9930
  0.278      -12.9987      -12.9987
  0.309      -13.0043      -13.0043
  0.340      -13.0097      -13.0097
  0.371      -13.0147      -13.0147
  0.402      -13.0192      -13.0192
  0.433      -13.0232      -13.0232
  0.464      -13.0265      -13.0265
  0.494      -13.0292      -13.0292
  0.525      -13.0312      -13.0312
  0.556      -13.0323      -13.0323
