Bi,Cl,Cs
-3.4308634325870275,-0.8051683511650224,-4.0497704693779495
-2.833582607763482,-1.0329685983121772,-3.764556944485515
-3.2392578949275546,-0.892577248172945,-3.915280803460498
-2.5837970720973424,-1.1145802643145635,-3.68624563692245
-3.0444520475448593,-0.8611431073260198,-4.13945379092307
-2.7806051306674036,-0.9518873856408513,-4.043118900563545
-3.057081783172453,-0.891869837016395,-4.038853778100215
-3.8129116771398057,-0.6497263763286121,-4.261397564185328
-3.858163560872017,-0.6194626061749202,-4.3220209521582635
-4.079436667476727,-0.5900491578144422,-4.262745892836558
-3.7103421999778825,-0.6669842979940555,-4.278003450630281
-4.52720848909126,-0.41987023281307595,-4.474768120097634
-4.027362048071804,-0.5807147715138198,-4.32546546467504
-4.185165991467659,-0.5107912013610902,-4.430033546202659
-3.4956941353158886,-0.7024883308974413,-4.314590061694786
-3.3402878544371872,-0.8939207755913082,-3.843896914865653
-3.6931025806884272,-0.7123350221588611,-4.153444357662167
-4.203665012160999,-0.5829620590384545,-4.201188292708339
-4.167521729408434,-0.5752599866802234,-4.248390031618076
-4.105579614557741,-0.5300044918383043,-4.425451259377628
-4.735080738072237,-0.3511205258612561,-4.542435741632442
-4.8129992368689045,-0.3176057538145224,-4.591034391908198
-4.409030330268602,-0.4405176639580063,-4.491611265877949
-5.0049563066593405,-0.22413196574411778,-4.743484376259122
-5.650257424772343,-0.017345832851611964,-4.93364202952797
-5.3940424092906625,-0.22195856117427898,-4.49061385488109
-4.82299862691134,-0.26007042233465927,-4.756974126319498
-5.3972236952157004,-0.05776538948390873,-4.981072512668843
-5.893384202973933,-0.008722901448423161,-4.797426304936478
-4.85106882754729,-0.28645963243655315,-4.659093028923183
-5.407450026267079,-0.12141692522225811,-4.783300351419542
-4.91108368283401,-0.31064361888255015,-4.546531166060711
-5.154637694482316,-0.20496620182990086,-4.70119407611979
-4.7965426226309775,-0.4127353223464165,-4.316616762471134
-4.7918405360569905,-0.41384943486525133,-4.316409149297288
-4.065326823427494,-0.5375194650295257,-4.4297415338907955
-4.63238705483786,-0.45934037578708403,-4.286238647344543
-4.600943962576154,-0.42776971530639823,-4.401912690294405
-4.822057146174992,-0.26461451542500003,-4.743969500872708
-4.393443019593729,-0.5325161726075059,-4.226007280379365
-3.9411980993818485,-0.5543335053226823,-4.462051895708423
-4.714837013424866,-0.3231895325088074,-4.639724538121369
-5.376189445270534,-0.20896577269011582,-4.541494196346998
-5.279702244795309,-0.2738439236855876,-4.4111845436774
-5.968758171103002,-0.0351713237266207,-4.667831726015839
-5.267538663861855,-0.16432405278684645,-4.74785321032926
-4.492481628584349,-0.4504872873804842,-4.406068196733351
-4.720740495895255,-0.29661019065391986,-4.7155269087057725
-4.558150142553216,-0.3983269372070634,-4.518770237941034
-3.7946211862957813,-0.6515198521689073,-4.268210797227127
-3.726032632605084,-0.6411099743044933,-4.3451661332808325
-3.2070542536892988,-0.9079561679347672,-3.890613138333868
-2.176610293959645,-1.1930433498183244,-3.7223142325029657
-2.1597062116568453,-1.2845293931999675,-3.4591254905599023
-2.0051284319445104,-1.3291488865213916,-3.4283188637371875
-2.1361020856804998,-1.312227560212643,-3.3917670735061063
-1.0424074950325182,-1.535255226770876,-3.4518138009300623
-0.4249655985198924,-1.7947866880666326,-3.084847348051209
-1.1361826094156429,-1.5162045476880843,-3.4464490952563547
-0.846098953728059,-1.701602527821176,-3.083644258648802
-0.9787239739801455,-1.6567360973395564,-3.1298268699256027
-0.3968778146040008,-1.7485344205409956,-3.242329339905381
-0.260545076516236,-1.9295110040185766,-2.7902880815311484
-0.5202174957541115,-1.7619521514205951,-3.119849693166509
-1.3123090989531594,-1.5785540024403244,-3.141983071307956
-1.386200956578625,-1.47415879814661,-3.405907445772122
-0.9148306665742303,-1.627959334297624,-3.25875269732201
-0.3193712751095668,-1.854818465210528,-2.975148232226407
-0.4103933141496338,-1.8415198639818429,-2.954362676552417
-0.140072649572412,-1.8507434977801938,-3.1069055515421793
-1.0696795494943654,-1.6115658718439945,-3.2047004960694756
-0.40764650733755475,-1.7748915764600686,-3.1560787436591267
-0.21941704699113024,-1.8015070650214138,-3.201718584872707
-0.9532439373213835,-1.6228828335225987,-3.248373352482317
-1.2049719886881045,-1.591773046704877,-3.173884012024335
-0.10873646892665573,-1.8521827923055434,-3.1234784550633017
-0.42306446406150217,-1.825197679283854,-2.9948817973718054
-0.716828087722247,-1.7186576955483293,-3.1186593328045493
-0.44631988316565746,-1.7809097170494401,-3.112242071338944
-0.2922509905585534,-1.9074964359735735,-2.835194509637946
-0.5012354041699242,-1.804770824210228,-3.004048402520402
-0.7562843447567195,-1.6672664287191716,-3.2465289619357076
-0.66082622988918,-1.746040807605459,-3.073844568521871
-1.1359451229320725,-1.505762481484754,-3.4779336181887257
-1.5090030029515433,-1.4266801626520211,-3.46647532134061
-1.6576795685441634,-1.443041324199504,-3.3182741263030806
-0.6137218459397367,-1.7285931265013736,-3.15759053446709
-0.8029453332671326,-1.7097259419420279,-3.0880430965935304
-0.7751988203033923,-1.7194359362577483,-3.0774107889555284
-0.8683424005370008,-1.591063259652718,-3.4004330986148807
-1.8591912757783182,-1.3859596554687048,-3.3551779943393747
-1.8299011311283517,-1.401492490269715,-3.328106253036322
-0.9715980489639857,-1.638830554299762,-3.188294115722426
-0.20516552861453688,-1.9014466485642678,-2.9114008464952077
-0.3719895071364808,-1.7996928702418178,-3.1054461957812616
-0.48910748490761513,-1.8037039383340516,-3.0153343396571373
-0.4888990888493102,-1.7350477478149193,-3.2214418419200705
-1.660789254413548,-1.4508891168771696,-3.292657624357161
-0.7934657939167367,-1.6910117240659865,-3.1505054431219177
-1.2108376229034992,-1.5222441384691474,-3.3785603139212603
-0.8578930450689605,-1.7496267953491802,-2.9317087285041876
-0.7115585064751254,-1.6823261995690182,-3.23116687490723
-1.477381383545798,-1.4755383694586108,-3.34098178052467
-1.1702832556095304,-1.558555514285837,-3.296662431333838
-1.2609823581336126,-1.5488312464487113,-3.265369166495826
-1.0455384474320282,-1.5643850196453715,-3.362337120706902
-0.26026532576968575,-1.77560267170569,-3.2521995789675078
-0.5508845087902918,-1.8487885397961468,-2.8388958526824
-0.6884344965534088,-1.6892577499090358,-3.2257882305016556
-1.41779502038895,-1.3982439418735133,-3.6125893053845295
-2.4985489370917735,-1.1255250525419271,-3.7102433622440723
-2.518202436361603,-1.046746300325612,-3.933477286046464
-3.268839055030398,-0.8969606826349836,-3.8824097266724853
-2.9940170347817707,-0.9804462606022273,-3.8151676729365067
-2.379530995776974,-1.1546597806162184,-3.7021844722310635
-2.3006491817145025,-1.2517287094639487,-3.463565561729521
